Name,Simbad_Identifier,System,RA_hms,DEC_dms,Date,Slit,t_exp,Vmag,B-V,SNR4500,SNR6000,Vel
BM235,,Helmi trail,17:52:37.6,-69:01:44.0,2019-05 -01,0.7,10,9.48,1.06,200,250,+138.4
HE0033-2141,,Helmi trail,00:35:42.0,-21:24:56.8,2014-06 -24,0.7,8,12.29,0.72,70,85,-185.1
HE0050-0918,,Helmi trail,00:52:41.9,-09:02:24.2,2016-10 -14,0.7,10,11.06,0.71,130,175,-238.0
HE1210-2729,,Helmi trail,12:13:06.9,-27:45:45.6,2013-01 -08,0.7,7,12.54,0.86,75,100,-82.7
HE2234-4757,,Helmi trail,22:37:20.5,-47:41:44.1,2014-06 -23,0.7,10,12.39,0.92,90,125,-102.8
BM028,,Helmi debris,02:47:37.5,-36:06:25.2,2016-10 -13,0.7,5,9.94,0.46,180,220,+308.5
BM201,,Helmi debris,14:36:49.2,-29:07:07.6,2019-02 -11,0.7,4,8.02,0.64,30,70,-78.1
BM308,,Helmi debris,22:37:08.2,-40:30:39.6,2016-10 -13,0.7,5,9.11,0.97,200,300,-364.9
HE0012-5643,,Helmi debris,00:15:17.1,-56:26:27.0,2014-06 -22,0.7,10,12.29,0.46,95,100,-265.5
HE0017-3646,,Helmi debris,00:20:26.3,-36:30:18.3,2015-10 -02,0.7,15,13.02,0.54,80,100,+347.6
HE0048-1109,,Helmi debris,00:51:26.5,-10:53:18.4,2014-06 -24,0.7,3,10.83,0.49,100,145,+50.5
HE0324-0122,,Helmi debris,03:27:02.4,+01:32:29.3,2016-10 -14,0.7,15,12.13,0.72,75,100,+184.1
BM056,,omega Cen progenitor,05:10:49.6,-37:49:03.0,2016-04 -16,0.7,30,9.50,0.86,155,320,-33.4
BM121,,omega Cen progenitor,09:53:38.4,-22:50:11.4,2019-02 -10,0.7,10,9.39,1.16,350,500,+151.6
HE0007-1752,,omega Cen progenitor,00:10:17.8,-17:35:37.3,2016-10 -14,0.7,20,11.54,0.65,150,200,+191.2
HE0039-0216,,omega Cen progenitor,00:41:53.7,-02:00:34.7,2014-06 -24,0.7,10,13.35,0.37,55,65,+211.9
HE0429-4620,,omega Cen progenitor,04:30:49.0,-46:13:55.7,2016-10 -14,0.7,10,13.10,0.62,35,40,+138.9
#HE1120-0153,,omega Cen progenitor,11:22:42.6,-02:09:37.9,2013-01 -08,0.7,15,11.68,0.44,140,180,+288.2
HE1401-0010,,omega Cen progenitor,14:04:03.4,-00:24:30.2,2010-08 -07,1.0,25,13.51,0.41,70,83,+387.7
HE2138-0314,,omega Cen progenitor,21:40:41.6,-03:01:19.1,2010-06 -06,0.7,5,13.23,0.57,62,90,-373.0
HE2315-4306,,omega Cen progenitor,23:18:18.7,-42:50:22.7,2016-08 -29,1.0,11,11.28,0.65,70,105,+201.7
HE2319-5228,,omega Cen progenitor,23:21:57.4,-52:11:45.9,2014-06 -23,0.7,15,13.25,0.90,75,100,+293.7
HE2322-6125,,omega Cen progenitor,23:25:34.6,-61:09:10.0,2016-04 -16,0.7,30,12.47,0.63,38,45,+328.8
