Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],D_logepsX,e_[X/H],e_[X/Fe]
J0715-7334,Li I,1,<,0.33,<,-2.97,<,1.33,,,
J0715-7334,C-H,1,<,3.99,<,-4.52,<,-0.22,+0.11,,
J0715-7334,N-H,1,<,4.56,<,-3.38,<,0.92,,,
J0715-7334,O I,1,<,6.91,<,-1.85,<,2.45,,,
J0715-7334,Na I,2,,1.92,,-4.38,,-0.07,+0.06,0.12,0.08
J0715-7334,Mg I,6,,3.50,,-4.07,,0.23,+0.26,0.10,0.09
J0715-7334,Al I,2,,1.43,,-5.03,,-0.73,+0.31,0.13,0.08
J0715-7334,Si I,1,,3.28,,-4.27,,0.03,+0.24,0.18,0.13
J0715-7334,K I,1,<,2.18,<,-2.94,<,1.37,,,
J0715-7334,Ca I,2,,2.08,,-4.25,,0.06,+0.21,0.13,0.10
J0715-7334,Ca II,2,,2.08,,-4.25,,0.06,+0.02,0.22,0.14
J0715-7334,Sc II,3,,-1.43,,-4.51,,-0.21,,0.21,0.13
J0715-7334,Ti II,13,,0.61,,-4.33,,-0.03,+0.33,0.13,0.05
J0715-7334,Cr I,2,,0.60,,-5.08,,-0.77,+0.03,0.16,0.10
J0715-7334,Mn I,1,,0.56,,-4.96,,-0.65,+0.68,0.30,0.27
J0715-7334,Fe I,58,,3.18,,-4.30,,0.00,+0.22,0.12,
J0715-7334,Fe II,6,,2.76,,-4.73,,-0.42,-0.00,0.11,
J0715-7334,Co I,2,,1.39,,-3.52,,0.79,+0.88,0.20,0.13
J0715-7334,Ni I,6,,1.28,,-4.97,,-0.66,-0.00,0.16,0.08
J0715-7334,Zn I,1,<,1.49,<,-3.16,<,1.15,,,
J0715-7334,Sr II,1,<,-3.35,<,-6.28,<,-1.97,,,
J0715-7334,Ba II,1,<,-3.31,<,-5.53,<,-1.22,,,
