Species,lambda,chi,loggf,f_EW,EW,f_logepsX,logepsX
Li I,6707.760,0.000,-0.002,<,7.6,<,0.65
O I,6300.304,0.000,-9.780,<,4.2,<,6.77
Na I,5889.950,0.000,+0.108,,96.0,,2.40
Na I,5895.924,0.000,-0.194,,89.5,,2.62
Mg I,4057.505,4.350,-0.900,,21.8,,4.96
Mg I,4702.991,4.350,-0.440,,46.1,,4.88
Mg I,5172.684,2.710,-0.393,,193.3,,4.97
Mg I,5183.604,2.720,-0.167,,204.3,,4.87
Mg I,5528.405,4.350,-0.498,,48.9,,4.93
Al I,3961.520,0.010,-0.340,,135.1,,3.53
Si I,6155.134,5.620,-0.760,<,5.0,<,5.35
K I,7698.965,0.000,-0.176,,62.9,,2.98
Ca I,4226.730,0.000,+0.244,,286.3,,4.04
Ca I,4318.650,1.900,-0.210,,47.0,,3.72
Ca I,4425.440,1.880,-0.358,,39.4,,3.71
Ca I,4435.690,1.890,-0.519,,34.4,,3.79
Ca I,4454.780,1.900,+0.260,,67.4,,3.53
Ca I,5588.760,2.530,+0.210,,39.1,,3.79
Ca I,5590.120,2.520,-0.710,,9.5,,3.95
Ca I,5594.470,2.520,-0.050,,25.8,,3.80
Ca I,5601.290,2.530,-0.690,,15.8,,4.19
Ca I,5857.451,2.930,+0.230,,28.7,,4.03
Ca I,6162.173,1.900,-0.089,,67.7,,3.74
Ca I,6169.042,2.520,-0.540,,10.6,,3.81
Ca I,6169.563,2.530,-0.270,,11.3,,3.58
Ca I,6493.781,2.520,+0.140,,25.3,,3.55
Ca I,6499.650,2.520,-0.590,,20.0,,4.16
Ca I,7148.150,2.710,+0.218,,29.2,,3.75
Sc II,4057.807,1.320,-0.180,,140.6,,0.60
Sc II,4057.807,1.320,-0.180,,108.0,,0.46
Sc II,4057.807,1.320,-0.180,,97.1,,0.50
Sc II,4057.807,1.320,-0.180,,29.5,,0.65
Sc II,4057.807,1.320,-0.180,,34.7,,0.44
Ti I,3958.210,0.050,-0.176,,46.1,,2.12
Ti I,3998.640,0.050,-0.055,,71.7,,2.39
Ti I,4533.240,0.850,+0.476,,38.4,,2.19
Ti I,4534.780,0.840,+0.280,,29.5,,2.22
Ti I,4981.730,0.850,+0.504,,33.6,,2.04
Ti I,4999.510,0.830,+0.250,,22.8,,2.05
Ti I,5173.750,0.000,-1.118,,13.5,,2.16
Ti I,5210.390,0.050,-0.883,,31.1,,2.41
Ti II,3987.610,0.610,-2.730,,17.1,,2.10
Ti II,4012.390,0.570,-1.610,,94.7,,2.29
Ti II,4028.350,1.890,-1.000,,35.6,,2.28
Ti II,4300.050,1.180,-0.770,,80.8,,1.85
Ti II,4395.040,1.080,-0.660,,104.2,,2.00
Ti II,4399.770,1.230,-1.270,,88.2,,2.51
Ti II,4417.720,1.170,-1.430,,64.1,,2.22
Ti II,4443.800,1.080,-0.710,,114.6,,2.24
Ti II,4468.500,1.130,-0.620,,99.7,,1.91
Ti II,4501.270,1.120,-0.750,,110.0,,2.22
Ti II,4533.970,1.240,-0.770,,106.8,,2.31
Ti II,4563.770,1.220,-0.960,,90.4,,2.18
Ti II,4571.980,1.570,-0.520,,85.9,,2.09
Ti II,4589.950,1.230,-1.780,,38.2,,2.24
Ti II,4657.200,1.240,-2.320,,13.3,,2.22
Ti II,5185.910,1.890,-1.460,,11.6,,2.01
V I,4057.807,1.320,-0.180,,11.8,,1.03
Cr I,4254.350,0.000,-0.114,,94.6,,1.92
Cr I,4274.800,0.000,-0.230,,126.4,,2.69
Cr I,4289.716,0.000,-0.360,,77.0,,1.85
Cr I,4616.140,0.980,-1.180,,11.0,,2.52
Cr I,4652.160,1.000,-1.030,,9.2,,2.30
Cr I,5206.040,0.940,+0.019,,63.7,,2.24
Cr I,5409.790,1.030,-0.720,,21.5,,2.38
Mn I,4057.807,1.320,-0.180,,126.7,,1.99
Mn I,4057.807,1.320,-0.180,,103.2,,1.76
Mn I,4057.807,1.320,-0.180,,17.5,,2.32
Mn I,4057.807,1.320,-0.180,,16.5,,2.21
Fe I,3949.953,2.180,-1.251,,62.6,,4.62
Fe I,4118.545,3.570,+0.215,,32.2,,4.23
Fe I,4143.868,1.560,-0.511,,126.8,,4.34
Fe I,4147.669,1.490,-2.104,,62.1,,4.60
Fe I,4181.754,2.830,-0.371,,54.5,,4.32
Fe I,4187.039,2.450,-0.548,,71.3,,4.31
Fe I,4187.795,2.420,-0.554,,76.4,,4.37
Fe I,4198.304,2.400,-0.719,,86.0,,4.67
Fe I,4199.095,3.050,+0.156,,71.0,,4.31
Fe I,4216.184,0.000,-3.356,,94.3,,4.62
Fe I,4222.213,2.450,-0.967,,50.3,,4.40
Fe I,4227.440,3.330,+0.266,,72.6,,4.54
Fe I,4233.603,2.480,-0.604,,71.4,,4.39
Fe I,4235.934,2.420,-0.341,,87.3,,4.33
Fe I,4250.119,2.470,-0.405,,114.0,,4.95
Fe I,4260.474,2.400,+0.077,,108.6,,4.28
Fe I,4271.154,2.450,-0.349,,85.4,,4.33
Fe I,4282.403,2.180,-0.779,,68.0,,4.16
Fe I,4294.125,1.490,-1.110,,121.8,,4.69
Fe I,4299.235,2.420,-0.405,,102.8,,4.66
Fe I,4337.046,1.560,-1.695,,71.0,,4.38
Fe I,4375.930,0.000,-3.031,,120.3,,4.78
Fe I,4415.122,1.610,-0.615,,136.1,,4.58
Fe I,4427.320,0.050,-3.044,,113.4,,4.68
Fe I,4430.614,2.220,-1.659,,37.1,,4.58
Fe I,4442.350,2.200,-1.255,,72.3,,4.68
Fe I,4447.717,2.220,-1.342,,59.7,,4.61
Fe I,4459.117,2.180,-1.279,,80.8,,4.82
Fe I,4461.653,0.090,-3.210,,97.1,,4.56
Fe I,4489.739,0.120,-3.966,,57.0,,4.70
Fe I,4494.563,2.200,-1.136,,75.2,,4.61
Fe I,4531.148,1.490,-2.155,,84.4,,4.93
Fe I,4592.651,1.560,-2.449,,60.8,,4.94
Fe I,4602.941,1.490,-2.220,,64.5,,4.68
Fe I,4871.318,2.870,-0.362,,54.9,,4.27
Fe I,4872.140,2.880,-0.567,,47.9,,4.38
Fe I,4891.492,2.850,-0.112,,86.5,,4.46
Fe I,4918.994,2.870,-0.342,,78.5,,4.59
Fe I,4920.503,2.830,+0.068,,101.1,,4.49
Fe I,4957.597,2.810,+0.233,,108.6,,4.43
Fe I,5083.338,0.960,-2.958,,56.4,,4.61
Fe I,5166.282,0.000,-4.195,,62.7,,4.78
Fe I,5171.596,1.490,-1.793,,83.6,,4.46
Fe I,5192.344,3.000,-0.421,,45.1,,4.30
Fe I,5194.941,1.560,-2.090,,60.0,,4.49
Fe I,5198.711,2.220,-2.135,,14.4,,4.47
Fe I,5227.189,1.560,-1.228,,132.7,,4.83
Fe I,5232.940,2.940,-0.057,,75.4,,4.30
Fe I,5269.537,0.860,-1.321,,160.2,,4.61
Fe I,5393.180,3.240,-0.715,,25.6,,4.52
Fe I,5405.775,0.990,-1.844,,136.7,,4.81
Fe I,5415.199,4.390,+0.642,,33.2,,4.64
Fe I,5424.068,4.320,+0.510,,54.6,,5.03
Fe I,5497.516,1.010,-2.849,,75.9,,4.79
Fe I,5501.465,0.960,-3.047,,60.4,,4.71
Fe I,5506.779,0.990,-2.797,,70.2,,4.63
Fe I,5569.618,3.420,-0.486,,28.4,,4.55
Fe I,5572.841,3.400,-0.275,,32.2,,4.39
Fe I,5586.756,3.370,-0.144,,43.5,,4.41
Fe I,5624.542,3.420,-0.755,,17.1,,4.55
Fe I,6065.482,2.610,-1.530,,29.4,,4.64
Fe I,6136.615,2.450,-1.400,,65.2,,4.86
Fe I,6137.691,2.590,-1.403,,55.3,,4.89
Fe I,6191.558,2.430,-1.416,,36.5,,4.43
Fe I,6252.555,2.400,-1.687,,29.5,,4.54
Fe I,6301.501,3.650,-0.718,,25.8,,4.96
Fe I,6393.601,2.430,-1.576,,40.0,,4.63
Fe I,6494.980,2.400,-1.273,,59.3,,4.57
Fe I,6546.239,2.760,-1.536,,49.1,,5.11
Fe I,6592.913,2.730,-1.473,,25.2,,4.61
Fe II,4178.860,2.570,-2.530,,37.8,,4.52
Fe II,4233.167,2.580,-1.809,,97.7,,4.78
Fe II,4416.820,2.770,-2.430,,25.6,,4.39
Fe II,4491.400,2.840,-2.600,,17.6,,4.44
Fe II,4508.300,2.840,-2.280,,49.9,,4.73
Fe II,4555.890,2.820,-2.170,,27.6,,4.22
Fe II,4576.340,2.830,-2.900,,10.6,,4.47
Fe II,4583.829,2.810,-1.740,,63.9,,4.35
Fe II,4923.921,2.890,-1.206,,114.6,,4.68
Fe II,5018.434,2.890,-1.350,,104.5,,4.63
Fe II,5197.580,3.230,-2.230,,23.2,,4.60
Fe II,5234.630,3.220,-2.220,,27.9,,4.68
Fe II,5425.260,3.000,-3.240,,12.1,,5.01
Co I,4057.807,1.320,-0.180,,86.1,,2.19
Ni I,4401.550,3.190,+0.084,,35.4,,3.64
Ni I,6643.640,1.680,-2.300,,25.1,,3.89
Ni I,6767.772,1.830,-2.170,,40.8,,4.22
Ni I,7122.197,3.540,+0.048,,18.0,,3.54
Zn I,4810.537,4.080,-0.170,,16.0,,2.04
Sr II,4057.807,1.320,-0.180,,79.0,,-1.78
Sr II,4057.807,1.320,-0.180,,89.3,,-1.33
Y II,4883.690,1.080,+0.070,<,4.2,<,-1.47
Ba II,4057.807,1.320,-0.180,,7.9,,-3.11
La II,4057.807,1.320,-0.180,<,8.6,<,-1.71
Ce II,4222.600,0.120,-0.180,<,5.7,<,-1.12
Nd II,4061.090,0.470,+0.290,<,7.3,<,-1.25
Eu II,4057.807,1.320,-0.180,<,10.1,<,-2.38
Dy II,4011.290,0.930,-0.630,<,12.3,<,0.17
