JINA_ID,Simbad_Identifier,RA_hms,DEC_dms,[Fe/H],[C/Fe],ul[C/Fe],ecc,Z_max,Reference,Name,Reference_2,Ref_2,Ref,Ncap_key,C_key,MP_key,Loc,System,RA_deg,DEC_deg,Priority,NLTE,alpha_key,Type,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Added_by,epsli,epsbe,epsc,epsn,epso,epsf,epsna,epsmg,epsal,epssi,epsp,epss,epsk,epsca,epssc,epsti,epsv,epscr,epsmn,epsfe,epsco,epsni,epscu,epszn,epsga,epsge,epsas,epsse,epsrb,epssr,epsy,epszr,epsnb,epsmo,epsru,epsrh,epspd,epsag,epscd,epssn,epste,epsba,epsla,epsce,epspr,epsnd,epssm,epseu,epsgd,epstb,epsdy,epsho,epser,epstm,epsyb,epslu,epshf,epsw,epsos,epsir,epspt,epsau,epshg,epspb,epsbi,epsth,epsu,ulli,ulbe,ulc,uln,ulo,ulf,ulna,ulmg,ulal,ulsi,ulp,uls,ulk,ulca,ulsc,ulti,ulv,ulcr,ulmn,ulfe,ulco,ulni,ulcu,ulzn,ulga,ulge,ulas,ulse,ulrb,ulsr,uly,ulzr,ulnb,ulmo,ulru,ulrh,ulpd,ulag,ulcd,ulsn,ulte,ulba,ulla,ulce,ulpr,ulnd,ulsm,uleu,ulgd,ultb,uldy,ulho,uler,ultm,ulyb,ullu,ulhf,ulw,ulos,ulir,ulpt,ulau,ulhg,ulpb,ulbi,ulth,ulu,[Li/H],[Be/H],[C/H],[N/H],[O/H],[F/H],[Na/H],[Mg/H],[Al/H],[Si/H],[P/H],[S/H],[K/H],[Ca/H],[Sc/H],[Ti/H],[V/H],[Cr/H],[Mn/H],[Co/H],[Ni/H],[Cu/H],[Zn/H],[Ga/H],[Ge/H],[As/H],[Se/H],[Rb/H],[Sr/H],[Y/H],[Zr/H],[Nb/H],[Mo/H],[Ru/H],[Rh/H],[Pd/H],[Ag/H],[Cd/H],[Sn/H],[Te/H],[Ba/H],[La/H],[Ce/H],[Pr/H],[Nd/H],[Sm/H],[Eu/H],[Gd/H],[Tb/H],[Dy/H],[Ho/H],[Er/H],[Tm/H],[Yb/H],[Lu/H],[Hf/H],[W/H],[Os/H],[Ir/H],[Pt/H],[Au/H],[Hg/H],[Pb/H],[Bi/H],[Th/H],[U/H],ul[Li/H],ul[Be/H],ul[C/H],ul[N/H],ul[O/H],ul[F/H],ul[Na/H],ul[Mg/H],ul[Al/H],ul[Si/H],ul[P/H],ul[S/H],ul[K/H],ul[Ca/H],ul[Sc/H],ul[Ti/H],ul[V/H],ul[Cr/H],ul[Mn/H],ul[Fe/H],ul[Co/H],ul[Ni/H],ul[Cu/H],ul[Zn/H],ul[Ga/H],ul[Ge/H],ul[As/H],ul[Se/H],ul[Rb/H],ul[Sr/H],ul[Y/H],ul[Zr/H],ul[Nb/H],ul[Mo/H],ul[Ru/H],ul[Rh/H],ul[Pd/H],ul[Ag/H],ul[Cd/H],ul[Sn/H],ul[Te/H],ul[Ba/H],ul[La/H],ul[Ce/H],ul[Pr/H],ul[Nd/H],ul[Sm/H],ul[Eu/H],ul[Gd/H],ul[Tb/H],ul[Dy/H],ul[Ho/H],ul[Er/H],ul[Tm/H],ul[Yb/H],ul[Lu/H],ul[Hf/H],ul[W/H],ul[Os/H],ul[Ir/H],ul[Pt/H],ul[Au/H],ul[Hg/H],ul[Pb/H],ul[Bi/H],ul[Th/H],ul[U/H],[Li/Fe],[Be/Fe],[N/Fe],[O/Fe],[F/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[P/Fe],[S/Fe],[K/Fe],[Ca/Fe],[Sc/Fe],[Ti/Fe],[V/Fe],[Cr/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Cu/Fe],[Zn/Fe],[Ga/Fe],[Ge/Fe],[As/Fe],[Se/Fe],[Rb/Fe],[Sr/Fe],[Y/Fe],[Zr/Fe],[Nb/Fe],[Mo/Fe],[Ru/Fe],[Rh/Fe],[Pd/Fe],[Ag/Fe],[Cd/Fe],[Sn/Fe],[Te/Fe],[Ba/Fe],[La/Fe],[Ce/Fe],[Pr/Fe],[Nd/Fe],[Sm/Fe],[Eu/Fe],[Gd/Fe],[Tb/Fe],[Dy/Fe],[Ho/Fe],[Er/Fe],[Tm/Fe],[Yb/Fe],[Lu/Fe],[Hf/Fe],[W/Fe],[Os/Fe],[Ir/Fe],[Pt/Fe],[Au/Fe],[Hg/Fe],[Pb/Fe],[Bi/Fe],[Th/Fe],[U/Fe],ul[Li/Fe],ul[Be/Fe],ul[N/Fe],ul[O/Fe],ul[F/Fe],ul[Na/Fe],ul[Mg/Fe],ul[Al/Fe],ul[Si/Fe],ul[P/Fe],ul[S/Fe],ul[K/Fe],ul[Ca/Fe],ul[Sc/Fe],ul[Ti/Fe],ul[V/Fe],ul[Cr/Fe],ul[Mn/Fe],ul[Co/Fe],ul[Ni/Fe],ul[Cu/Fe],ul[Zn/Fe],ul[Ga/Fe],ul[Ge/Fe],ul[As/Fe],ul[Se/Fe],ul[Rb/Fe],ul[Sr/Fe],ul[Y/Fe],ul[Zr/Fe],ul[Nb/Fe],ul[Mo/Fe],ul[Ru/Fe],ul[Rh/Fe],ul[Pd/Fe],ul[Ag/Fe],ul[Cd/Fe],ul[Sn/Fe],ul[Te/Fe],ul[Ba/Fe],ul[La/Fe],ul[Ce/Fe],ul[Pr/Fe],ul[Nd/Fe],ul[Sm/Fe],ul[Eu/Fe],ul[Gd/Fe],ul[Tb/Fe],ul[Dy/Fe],ul[Ho/Fe],ul[Er/Fe],ul[Tm/Fe],ul[Yb/Fe],ul[Lu/Fe],ul[Hf/Fe],ul[W/Fe],ul[Os/Fe],ul[Ir/Fe],ul[Pt/Fe],ul[Au/Fe],ul[Hg/Fe],ul[Pb/Fe],ul[Bi/Fe],ul[Th/Fe],ul[U/Fe]
855,2MASS J22240014-4235160,22:24:00.14,-42:35:16.05,-2.77,0.14,,0.49,2.45,Mardini+2022,2MASS J22240014-4235160,Roederer+2014,ROE14,MAR22,,,VMP,DW,Atari Disk,336.000583,-42.587792,1.0,,,RG,-74.0,1992AJ....103.1987B,14.44,14.4,13.94,13.3,,12.517,12.129,12.026,5060.0,2.2,-2.77,1.4,Abohalima,,,5.8,6.41,,,3.8,5.27,3.81,,,,2.62,4.02,0.37,2.41,1.01,2.7,2.28,4.73,2.21,3.57,,2.19,,,,,,0.34,-0.74,0.16,,,,,,,,,,-0.8,-1.52,-1.17,,-1.25,-1.5,-1.91,,,-1.07,,-1.46,,-1.57,,,,,,,,,,,,,0.86,,,,6.85,,,,,,,,,,,,,,,,,,1.48,,,,,,2.29,,,,0.69,0.1,,,,,,1.34,,,,,-1.2,,,,-0.69,-1.3,,,,,,,-0.6,,,,,,,0.78,,,,,,-2.63,-1.42,,,-2.44,-2.33,-2.64,,,,-2.41,-2.32,-2.78,-2.54,-2.92,-2.94,-3.15,-2.78,-2.65,,-2.37,,,,,,-2.53,-2.95,-2.42,,,,,,,,,,-2.98,-2.62,-2.75,,-2.67,-2.46,-2.43,,,-2.17,,-2.38,,-2.41,,,,,,,,,,,,,-0.19,,,,-1.84,,,,,,,,,,,,,,,,,,-2.71,,,,,,-0.23,,,,-0.77,-1.78,,,,,,-0.7,,,,,-1.92,,,,-1.76,-1.6,,,,,,,-1.45,,,,,,,-0.97,,,,,,1.35,,,0.33,0.44,0.13,,,,0.36,0.45,-0.01,0.23,-0.15,-0.17,-0.38,-0.01,0.12,,0.4,,,,,,0.24,-0.18,0.35,,,,,,,,,,-0.21,0.15,0.02,,0.1,0.31,0.34,,,0.6,,0.39,,0.36,,,,,,,,,,,,,2.58,,,0.93,,,,,,,,,,,,,,,,,0.06,,,,,,2.54,,,,2.0,0.99,,,,,,2.07,,,,,0.85,,,,1.01,1.17,,,,,,,1.32,,,,,,,1.8,,,
908,2MASS J23021574-3351110,23:02:15.75,-33:51:11.03,-2.29,0.37,,0.44,2.08,Mardini+2022,2MASS J23021574-3351110,Barklem+2005,BAR05,MAR22,,,VMP,DW,Atari Disk,345.565625,-33.853064,1.0,,,MS,-13.6,2005A&A...439..129B,,17.264,16.864,16.654,16.33,15.977,15.402,15.642,6266.0,4.32,-2.29,1.37,Abohalima,,,6.51,,,,,5.52,3.2,,,,,4.36,1.01,3.13,,3.23,2.6,5.21,2.87,3.92,,,,,,,,0.5,,,,,,,,,,,,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.92,,,,,-2.08,-3.25,,,,,-1.98,-2.14,-1.82,,-2.41,-2.83,-2.12,-2.3,,,,,,,,-2.37,,,,,,,,,,,,-2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,-0.96,,,,,0.31,0.15,0.47,,-0.12,-0.54,0.17,-0.01,,,,,,,,-0.08,,,,,,,,,,,,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,BD-20 6008,20:42:48.77,-20:00:39.37,-3.0,-0.48,,0.32,1.4,Mardini+2022,BD-20 6008,Roederer+2014,ROE14,MAR22,,,EMP,DW,Atari Disk,310.703208,-20.010936,1.0,,,RG,22.1,2006AstL...32..759G,,10.6,9.89,,,8.023,7.525,7.396,4540.0,0.65,-3.05,1.7,Abohalima,,,4.95,5.63,,,,5.13,3.01,,,,2.35,3.78,0.06,2.04,0.62,2.35,1.94,4.5,1.88,3.22,,1.76,,,,,,-0.22,-1.21,-0.41,,,,,,,,,,-1.22,-2.1,-1.65,-2.11,-1.87,-2.05,-2.59,,,-2.07,,-2.06,,-2.36,,,,,,,,,,,,,0.05,,,,6.21,,,,,,,,,,,,,,,,,,0.81,,,,,,1.51,,,,0.05,-0.58,,,,,,,,,,,,,,,-1.42,-2.26,,,,-2.28,,,-1.29,,,,,,,0.46,,-2.42,,,,-3.48,-2.2,,,,-2.47,-3.44,,,,-2.68,-2.56,-3.09,-2.91,-3.31,-3.29,-3.49,-3.11,-3.0,,-2.8,,,,,,-3.09,-3.42,-2.99,,,,,,,,,,-3.4,-3.2,-3.23,-2.83,-3.29,-3.01,-3.11,,,-3.17,,-2.98,,-3.2,,,,,,,,,,,,,-1.0,,,,-2.48,,,,,,,,,,,,,,,,,,-3.38,,,,,,-1.01,,,,-1.41,-2.46,,,,,,,,,,,,,,,-2.49,-2.56,,,,-2.38,,,-2.14,,,,,,,-1.29,,-2.44,,,,0.8,,,,0.53,-0.44,,,,0.32,0.44,-0.09,0.09,-0.31,-0.29,-0.49,-0.11,0.0,,0.2,,,,,,-0.09,-0.42,0.01,,,,,,,,,,-0.4,-0.2,-0.23,0.17,-0.29,-0.01,-0.11,,,-0.17,,0.02,,-0.2,,,,,,,,,,,,,2.0,,,0.52,,,,,,,,,,,,,,,,,-0.38,,,,,,1.99,,,,1.59,0.54,,,,,,,,,,,,,,,0.51,0.44,,,,0.62,,,0.86,,,,,,,1.71,,0.56,
1419,BPS CS29506-0007,21:20:28.65,-20:46:22.90,-3.24,,0.81,0.45,1.02,Mardini+2022,BPS CS29506-0007,Roederer+2014,ROE14,MAR22,,,EMP,DW,Atari Disk,320.119375,-20.773028,1.0,,,SG,46.0,1992AJ....103.1987B,,14.1,14.18,13.7,,13.174,12.934,12.872,5940.0,3.6,-2.94,1.5,Abohalima,1.88,,,,6.33,,,4.8,2.51,4.56,,,,3.74,0.18,2.22,,2.18,1.75,4.26,1.99,2.95,,,,,,,,-0.12,-1.18,,,,,,,,,,,-1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,1.74,,,,,,,2.37,,,,,2.81,,,,1.36,1.0,,,,,,2.22,,,,-0.01,-0.39,-0.23,-0.12,-1.36,0.24,-0.38,-0.39,-0.48,-0.34,-0.71,-1.24,,0.57,,,,,,,1.47,,-0.27,,0.83,,,,-2.36,,,-2.8,-3.94,-2.95,,,,-2.6,-2.97,-2.73,,-3.46,-3.68,-3.0,-3.27,,,,,,,,-2.99,-3.39,,,,,,,,,,,-3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.43,-1.83,,,,,,,,,,,,,-2.19,,,,,,,-2.19,,,,,0.29,,,,-0.1,-0.88,,,,,,0.18,,,,-1.59,-1.11,-1.65,-1.08,-1.88,-0.83,-0.68,-1.49,-0.96,-1.26,-0.81,-2.08,,-0.28,,,,,,,-0.28,,-0.29,,4.07,,,0.88,,,0.44,-0.7,0.29,,,,0.64,0.27,0.51,,-0.22,-0.44,0.24,-0.03,,,,,,,,0.25,-0.15,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,1.05,,,,,,1.05,,,,,3.53,,,,3.14,2.36,,,,,,3.42,,,,1.65,2.13,1.59,2.16,1.36,2.41,2.56,1.75,2.28,1.98,2.43,1.16,,2.96,,,,,,,2.96,,2.95,
1455,BPS CS30493-0071,23:16:30.80,-35:34:35.90,-2.82,0.35,,0.4,1.26,Mardini+2022,BPS CS30493-0071,Roederer+2014,ROE14,MAR22,,,VMP,DW,Atari Disk,349.128333,-35.576639,1.0,,,SG,-3.0,1992AJ....103.1987B,,13.0,13.21,12.9,,12.141,11.819,11.775,5700.0,3.55,-2.46,1.3,Abohalima,,,5.96,,6.77,,3.4,5.23,2.99,5.15,,,,3.99,0.51,2.63,1.7,2.72,2.07,4.68,2.26,3.44,,2.3,,,,,,0.7,-0.45,0.49,,,,,,,,,,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,2.78,,,,1.28,0.9,,,,,,,,,-1.03,-0.23,-0.59,-0.35,-0.23,-1.51,0.05,-0.57,-0.44,-0.77,-0.35,-0.89,-1.43,,0.37,,,,,,,1.5,,-0.55,,,,-2.47,,-1.92,,-2.84,-2.37,-3.46,-2.36,,,,-2.35,-2.64,-2.32,-2.23,-2.92,-3.36,-2.73,-2.78,,-2.26,,,,,,-2.17,-2.66,-2.09,,,,,,,,,,-2.97,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,-0.18,-0.98,,,,,,,,,-2.13,-1.81,-1.31,-1.77,-1.19,-2.03,-1.02,-0.87,-1.54,-1.25,-1.27,-0.99,-2.27,,-0.48,,,,,,,-0.25,,-0.57,,,,,0.9,,-0.02,0.45,-0.64,0.46,,,,0.47,0.18,0.5,0.59,-0.1,-0.54,0.09,0.04,,0.56,,,,,,0.65,0.16,0.73,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,1.39,,,,,,,,,,,,,,,,,,,,,,,,3.08,,,,2.64,1.84,,,,,,,,,0.69,1.01,1.51,1.05,1.63,0.79,1.8,1.95,1.28,1.57,1.55,1.83,0.55,,2.34,,,,,,,2.57,,2.25,
1485,CD-26 16470,23:05:50.54,-25:57:22.29,-2.13,,,0.34,2.75,Mardini+2022,CD-26 16470,Ruchti+2011,RUC11,MAR22,,,VMP,DW,Atari Disk,346.460583,-25.956192,1.0,,,RG,-73.7,2011yCat.3265....0S,,12.06,11.16,10.61,10.229,9.48,8.979,8.893,4912.0,1.76,-2.13,2.0,Abohalima,,,,,,,,5.74,,5.84,,,,4.53,,3.08,,,,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.86,,-1.67,,,,-1.81,,-1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,0.46,,,,0.32,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,CD-49 506,01:49:07.94,-49:11:43.16,-2.65,,,0.49,2.75,Mardini+2022,CD-49 506,Ruchti+2011,RUC11,MAR22,,,VMP,DW,Atari Disk,27.283083,-49.195322,1.0,,,RG,92.9,2013AJ....146..134K,,11.944,11.172,,,9.525,9.097,8.96,4936.0,1.73,-2.65,1.8,Abohalima,,,,,,,,5.32,,5.21,,,,4.04,,2.56,,,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.28,,-2.3,,,,-2.3,,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,0.35,,,,0.35,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,HD2796,00:31:16.91,-16:47:40.79,-2.45,-0.43,,0.68,1.13,Mardini+2022,HD2796,Cayrel+2004,CAY04,MAR22,,,VMP,DW,Atari Disk,7.820458,-16.794664,1.0,,,RG,-61.15,2008A&A...480...91S,9.58,9.28,8.5,8.14,8.67,6.853,6.391,6.256,4950.0,1.5,-2.4,2.1,Abohalima,,,5.55,6.3,6.77,,4.2,5.36,3.35,5.48,,,,4.22,0.79,2.79,,2.95,2.54,5.05,2.59,3.7,,2.37,,,,,,0.75,-0.48,0.21,,,,,,,,,,-0.48,-1.4,-0.83,-1.5,-1.1,-1.4,-1.85,-1.4,,-1.32,-2.2,-1.43,,-1.52,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.47,,,,,,,,,,,,,,,,-2.88,-1.53,-1.92,,-2.04,-2.24,-3.1,-2.03,,,,-2.12,-2.36,-2.16,,-2.69,-2.89,-2.4,-2.52,,-2.19,,,,,,-2.12,-2.69,-2.37,,,,,,,,,,-2.66,-2.5,-2.41,-2.22,-2.52,-2.36,-2.37,-2.47,,-2.42,-2.68,-2.35,,-2.36,,,,,,,,,,,,,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.57,,,,,,,,,,,,,,,,0.92,0.53,,0.41,0.21,-0.65,0.42,,,,0.33,0.09,0.29,,-0.24,-0.44,0.05,-0.07,,0.26,,,,,,0.33,-0.24,0.08,,,,,,,,,,-0.21,-0.05,0.04,0.23,-0.07,0.09,0.08,-0.02,,0.03,-0.23,0.1,,0.09,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,,,,,,,,,,,,,
2035,HE 0945-1435,09:47:50.70,-14:49:07.00,-3.87,,2.0,0.57,0.76,Mardini+2022,HE 0945-1435,Hansen+2015,HAN15,MAR22,,,EMP,DW,Atari Disk,146.96125,-14.818611,1.0,,,MS,121.8,2013ApJ...762...25N,,15.1,,,,,,,6300.0,4.5,-3.9,1.6,Abohalima,1.88,,,,,,,3.84,,3.95,,,,2.59,,1.04,,1.6,,3.63,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56,6.06,8.82,,2.07,,2.08,,,,,,-0.82,,1.86,,1.36,,2.12,,,2.49,,,,,,-1.9,,,,,,,,,,,,-1.69,,,,,,-1.15,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,-3.76,,-3.56,,,,-3.75,,-3.91,,-4.04,,,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.87,-1.77,0.13,,-4.17,,-4.37,,,,,,-3.97,,-2.07,,-4.07,,-2.87,,,-2.07,,,,,,-4.77,,,,,,,,,,,,-3.87,,,,,,-1.67,,,,,,,,,,,,,,,,,,,,4.7,,,,,,0.11,,0.31,,,,0.12,,-0.04,,-0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,4.0,,-0.3,,-0.5,,,,,,-0.1,,1.8,,-0.2,1.0,,,1.8,,,,,,-0.9,,,,,,,,,,,,0.0,,,,,,2.2,,,,,,,,,,,,,,,,,,,
2080,HE 2318-1621,23:21:21.56,-16:05:05.65,-3.67,0.54,,0.58,3.64,Mardini+2022,HE 2318-1621,Placco+2020,PLA20,MAR22,,,EMP,DW,Atari Disk,350.339833,-16.084903,1.0,,,RG,,,,13.38,12.73,12.67,,11.238,10.803,10.713,4846.0,1.4,-3.67,1.75,Abohalima,,,5.3,5.4,,,3.28,4.13,2.2,,,,,2.96,-0.77,1.63,,1.62,1.08,3.83,1.57,2.69,,1.35,,,,,,-1.8,,,,,,,,,,,,-3.1,,,,,,-3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.13,-2.43,,,-2.96,-3.47,-4.25,,,,,-3.38,-3.92,-3.32,,-4.02,-4.35,-3.42,-3.53,,-3.21,,,,,,-4.67,,,,,,,,,,,,-5.28,,,,,,-3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,0.71,0.2,-0.58,,,,,0.29,-0.25,0.35,,-0.35,-0.68,0.25,0.14,,0.46,,,,,,-1.0,,,,,,,,,,,,-1.61,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2211,SDSS J063055.57+255243.7,06:30:55.57,+25:52:43.81,-3.05,,,0.5,0.74,Mardini+2022,SDSS J063055.57+255243.7,Aoki+2013,AOK13,MAR22,,,EMP,DW,Atari Disk,97.731542,25.878836,1.0,,,SG,45.55,2013AJ....145...13A,,,,,,16.18,15.66,15.97,6100.0,4.0,-3.05,1.5,Abohalima,,,,,,,,4.78,,,,,,,,,,,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248,SDSS J120441.38+120111.5,12:04:41.39,+12:01:11.52,-4.34,,1.45,0.39,3.35,Mardini+2022,SDSS J120441.38+120111.5,Placco+2015,PLA15,MAR22,,,UMP,DW,Atari Disk,181.172458,12.019867,1.0,,,RG,51.0,2012ApJS..203...21A,,,,,,,,,5467.0,3.2,-4.34,1.5,Abohalima,1.7,,,,,,2.34,3.66,,3.88,,,,2.42,-0.78,1.48,,1.89,,3.16,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.55,,,,,,,,,,,,-1.54,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,-3.9,-3.94,,-3.63,,,,-3.92,-3.93,-3.47,,-3.75,,,-3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.42,,,,,,,,,,,,-3.72,,,,,,,,,,,,,,,,,,,,,,,,,,4.99,,,,,0.44,0.4,,0.71,,,,0.42,0.41,0.87,,0.59,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,
2255,SDSS J124502.68-073847.0,12:45:02.68,-07:38:46.95,-3.16,2.53,,0.5,4.0,Mardini+2022,SDSS J124502.68-073847.0,Aoki+2013,AOK13,MAR22,S,CE,EMP,DW,Atari Disk,191.261167,-7.646375,1.0,,,SG,76.88,2013AJ....145...13A,,,,,,15.09,14.77,14.81,6100.0,4.0,-3.17,1.5,Abohalima,,,7.8,,,,4.42,5.12,,,,,,4.08,,2.37,,,,4.34,,,,,,,,,,0.35,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63,,,,-1.82,-2.48,,,,,,-2.26,,-2.58,,,,,,,,,,,,,-2.52,,,,,,,,,,,,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,0.68,,,,,,0.9,,0.58,,,,,,,,,,,,,0.64,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
