 Names       , alpha (J2000) , delta (J2000) , Log (g) (dex) , Teff (K) , [Fe/H] (dex) , [Fe/H]_error (dex) , [C/Fe] (dex) , [C/Fe]_error (dex) , [C/Fe]_correction (dex) , [C/Fe]_final (dex) 
10\_8\_4247,00:59:51.56,-33:45:07.76,3.32,5419,-2.84,0.39,<0.40,...,0.0,<0.40
10\_8\_4014,00:59:55.48,-33:45:51.48,2.88,5244,-2.99,0.42,0.64,0.51,0.01,0.65
10\_8\_3723,00:59:59.92,-33:51:11.79,2.96,5286,-2.38,0.82,<0.40,...,0.01,<0.41
10\_8\_3558,01:00:02.65,-33:49:18.73,3.02,5309,-2.48,0.31,<0.4,...,0.01,<0.41
10\_8\_3188,01:00:07.66,-33:49:46.99,3.32,5394,-1.98,0.45,<0.00,...,0.0,<0.00
10\_8\_3111,01:00:08.86,-33:49:49.67,2.65,5066,-1.15,0.37,-0.86,0.30,0.02,-0.84
10\_8\_3045,01:00:09.72,-33:47:00.79,2.49,5100,-2.55,0.28,0.16,0.39,0.01,0.17
10\_8\_1615,01:00:33.05,-33:43:02.26,2.61,5151,-2.55,0.34,<0.25,...,0.01,<0.26
10\_8\_1366,01:00:38.71,-33:43:16.58,2.81,5227,-2.10,0.38,-0.22,0.41,0.01,-0.21
10\_8\_440,01:01:14.29,-33:39:27.82,3.59,5493,-1.65,0.2,-0.45,0.31,0.0,-0.45
10\_8\_436,01:01:14.95,-33:47:21.34,3.35,5404,-1.42,0.83,-0.47,0.57,0.0,-0.47
6\_5\_163,01:01:19.89,-33:35:57.44,2.41,5055,-2.95,0.45,0.84,0.48,0.01,0.85
